               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 129,            0.026354,              0.0153,            0.001692,             0.81996,              0.7893,             0.80705,             0.53351,             0.02994,            0.012931,           0.0045846,            0.003664,            0.003664,            0.003664
                 130,            0.026407,            0.015284,           0.0017764,             0.82568,             0.78819,             0.80885,              0.5346,            0.029991,            0.012906,           0.0047161,           0.0036145,           0.0036145,           0.0036145
                 131,            0.026142,            0.015198,            0.001789,             0.82064,             0.78938,             0.80762,              0.5345,            0.029998,            0.012924,           0.0047353,            0.003565,            0.003565,            0.003565
                 132,            0.026066,            0.015302,           0.0015689,             0.81508,             0.79225,             0.80755,             0.53283,            0.029971,            0.012935,           0.0047188,           0.0035155,           0.0035155,           0.0035155
                 133,            0.026097,            0.015191,           0.0016312,              0.8095,             0.79819,             0.80828,             0.53374,            0.029913,            0.012947,           0.0046212,            0.003466,            0.003466,            0.003466
                 134,            0.026043,             0.01542,           0.0016022,              0.8165,             0.79592,             0.81035,             0.53531,            0.029887,            0.012958,            0.004716,           0.0034165,           0.0034165,           0.0034165
                 135,            0.025733,            0.015067,           0.0014958,             0.81287,             0.79684,              0.8086,             0.53417,            0.029853,            0.012994,           0.0046372,            0.003367,            0.003367,            0.003367
                 136,            0.025769,            0.015017,           0.0015424,             0.81127,             0.80105,             0.80952,             0.53254,            0.029799,            0.013014,           0.0046194,           0.0033175,           0.0033175,           0.0033175
                 137,            0.025633,            0.015233,           0.0013622,             0.80959,             0.80191,             0.80815,             0.53266,             0.02978,            0.013045,           0.0046352,            0.003268,            0.003268,            0.003268
                 138,              0.0256,            0.014939,           0.0015419,             0.81622,             0.79759,             0.80624,             0.53233,            0.029715,            0.013042,           0.0046301,           0.0032185,           0.0032185,           0.0032185
                 139,            0.025589,            0.015057,           0.0014956,             0.81998,             0.79477,             0.80827,             0.53443,            0.029697,            0.013044,           0.0046084,            0.003169,            0.003169,            0.003169
                 140,             0.02561,            0.014875,           0.0013909,             0.82396,             0.79275,             0.80846,              0.5333,            0.029667,            0.013055,           0.0045982,           0.0031195,           0.0031195,           0.0031195
                 141,            0.025296,            0.015106,            0.001418,             0.82667,             0.79016,             0.80928,             0.53438,            0.029614,            0.013056,           0.0045784,             0.00307,             0.00307,             0.00307
                 142,            0.025255,            0.014505,           0.0014326,             0.81617,             0.79468,             0.80809,             0.53414,            0.029612,            0.013062,           0.0046316,           0.0030205,           0.0030205,           0.0030205
                 143,            0.025235,            0.014957,           0.0014126,             0.82456,             0.79119,             0.80745,             0.53453,            0.029602,            0.013062,           0.0046117,            0.002971,            0.002971,            0.002971
